category,dimension,multica,paperclip,golutra,agentops,industry_avg,gap,severity
核心能力,Agent 生命周期管理,4,5,4,2,4.3,-2.3,high
核心能力,多 Agent 并行编排,4,5,5,1,4.7,-3.7,critical
核心能力,任务分解与分配,4,5,3,2,4.0,-2.0,high
核心能力,Agent 间通信/结果接力,3,4,3,0,3.3,-3.3,critical
核心能力,Goal/Mission 对齐与追踪,3,5,2,2,3.3,-1.3,medium
用户体验,安装与上手体验,5,4,4,2,4.3,-2.3,high
用户体验,Dashboard/可视化监控,4,4,4,1,4.0,-3.0,critical
用户体验,错误提示与恢复,3,3,3,1,3.0,-2.0,high
用户体验,文档完整性,4,4,3,1,3.7,-2.7,high
工程架构,技术栈选型合理性,4,4,5,3,4.3,-1.3,medium
工程架构,可扩展性(插件/自定义agent),4,5,3,1,4.0,-3.0,critical
工程架构,数据持久化方案,3,4,3,3,3.3,0.0,none
工程架构,API 设计质量,4,4,3,3,3.7,-0.7,low
工程架构,测试覆盖度,4,4,3,2,3.7,-1.7,medium
差异化特性,成本控制/预算管理,2,5,1,0,2.7,-2.7,high
差异化特性,Squad/团队编组,5,3,2,0,3.3,-3.3,critical
差异化特性,桌面原生体验,3,2,5,2,3.3,-1.3,medium
差异化特性,自动调度/Cron/Autopilot,3,4,3,0,3.3,-3.3,critical
差异化特性,多租户/数据隔离,3,5,2,0,3.3,-3.3,critical
差异化特性,技能复用系统,4,4,2,0,3.3,-3.3,critical
差异化特性,Agent 能力评估,2,4,2,0,2.7,-2.7,high
差异化特性,国际化,2,2,4,0,2.7,-2.7,high
